route_id,stop_id,stop_sequence,offset_min
R01,BEN_THANH,1,0
R01,R01_S2,2,4
R01,R01_S3,3,8
R01,R01_S4,4,12
R01,CHO_LON,5,16
R08,Q8,1,0
R08,R08_S2,2,4
R08,R08_S3,3,7
R08,R08_S4,4,11
R08,BEN_THANH,5,14
R08,R08_S6,6,25
R08,R08_S7,7,36
R08,R08_S8,8,47
R08,DHQG,9,57
R10,DHQG,1,0
R10,R10_S2,2,13
R10,R10_S3,3,26
R10,R10_S4,4,39
R10,BACH_KHOA,5,52
R10,R10_S6,6,54
R10,R10_S7,7,56
R10,R10_S8,8,58
R10,CHO_LON,9,60
R19,BEN_THANH,1,0
R19,R19_S2,2,8
R19,R19_S3,3,17
R19,R19_S4,4,25
R19,R19_S5,5,33
R19,SUOI_TIEN,6,41
R19,R19_S7,7,42
R19,R19_S8,8,42
R19,R19_S9,9,43
R19,R19_S10,10,43
R19,DHQG,11,44
R30,CHO_LON,1,0
R30,R30_S2,2,5
R30,R30_S3,3,11
R30,R30_S4,4,16
R30,TSN,5,21
R152,TSN,1,0
R152,R152_S2,2,5
R152,R152_S3,3,10
R152,R152_S4,4,15
R152,BEN_THANH,5,20
R88,BEN_THANH,1,0
R88,R88_S2,2,4
R88,R88_S3,3,7
R88,R88_S4,4,11
R88,PMH,5,14
R93,MIEN_DONG,1,0
R93,R93_S2,2,7
R93,R93_S3,3,14
R93,R93_S4,4,22
R93,R93_S5,5,29
R93,BEN_THANH,6,36
R93,R93_S7,7,41
R93,R93_S8,8,46
R93,R93_S9,9,52
R93,R93_S10,10,57
R93,MIEN_TAY,11,62
R45,BEN_THANH,1,0
R45,R45_S2,2,2
R45,R45_S3,3,4
R45,SU_PHAM,4,6
R36,MIEN_TAY,1,0
R36,R36_S2,2,6
R36,R36_S3,3,12
R36,R36_S4,4,18
R36,CV_23_9,5,24
R36,R36_S6,6,24
R36,R36_S7,7,25
R36,R36_S8,8,25
R36,BEN_THANH,9,26
BH01,BX_BIEN_HOA,1,0
BH01,BH01_S2,2,0
BH01,BH01_S3,3,1
BH01,BH01_S4,4,1
BH01,GA_BIEN_HOA,5,2
BH01,BH01_S6,6,4
BH01,BH01_S7,7,6
BH01,BH01_S8,8,8
BH01,CHO_BIEN_HOA,9,10
BH02,GA_BIEN_HOA,1,0
BH02,BH02_S2,2,4
BH02,BH02_S3,3,8
BH02,TRUONG_NGUYEN_TRI_PHUONG,4,12
BH02,BH02_S5,5,15
BH02,BH02_S6,6,19
BH02,BX_BIEN_HOA,7,23
BH02,BH02_S8,8,24
BH02,BH02_S9,9,26
BH02,CV_BIEN_HUNG,10,28
BH02,BH02_S11,11,29
BH02,BH02_S12,12,29
BH02,DH_DONG_NAI,13,29
BH02,BH02_S14,14,32
BH02,BH02_S15,15,34
BH02,DH_LAC_HONG,16,37
BH03,NGA_TU_VUNG_TAU,1,0
BH03,BH03_S2,2,1
BH03,BH03_S3,3,1
BH03,BH03_S4,4,2
BH03,KCN_BIEN_HOA_2,5,3
BH03,BH03_S6,6,5
BH03,BH03_S7,7,6
BH03,BH03_S8,8,8
BH03,GA_BIEN_HOA,9,10
BH04,CHO_BIEN_HOA,1,0
BH04,BH04_S2,2,1
BH04,BH04_S3,3,2
BH04,BH04_S4,4,2
BH04,DH_DONG_NAI,5,3
BH04,BH04_S6,6,4
BH04,BH04_S7,7,4
BH04,BH04_S8,8,5
BH04,BV_DONG_NAI,9,5
BH05,KCN_BIEN_HOA_1,1,0
BH05,BH05_S2,2,1
BH05,BH05_S3,3,3
BH05,BH05_S4,4,4
BH05,CV_BIEN_HUNG,5,6
BH05,BH05_S6,6,7
BH05,BH05_S7,7,8
BH05,BH05_S8,8,9
BH05,VINCOM_BIEN_HOA,9,10
