stop_id,stop_name,stop_name_en,lat,lon,is_hub,city_id
BEN_THANH,Chợ Bến Thành,Ben Thanh Market,10.7724,106.698,1,hcmc
R01_S2,Trần Hưng Đạo - Trạm 1 (tuyến 01),Tran Hung Dao St. - Stop 1 (Route 01),10.766625,106.6863,0,hcmc
R01_S3,Trần Hưng Đạo - Trạm 2 (tuyến 01),Tran Hung Dao St. - Stop 2 (Route 01),10.76085,106.6746,0,hcmc
R01_S4,Trần Hưng Đạo - Trạm 3 (tuyến 01),Tran Hung Dao St. - Stop 3 (Route 01),10.755075,106.6629,0,hcmc
CHO_LON,Bến xe Chợ Lớn,Cho Lon Bus Station,10.7493,106.6512,1,hcmc
Q8,Bến xe Quận 8,District 8 Bus Station,10.7385,106.665,1,hcmc
R08_S2,Nguyễn Thị Thập - Xa lộ Hà Nội - Trạm 1 (tuyến 08),Nguyen Thi Thap - Ha Noi Highway - Stop 1 (Route 08),10.746975,106.67325,0,hcmc
R08_S3,Nguyễn Thị Thập - Xa lộ Hà Nội - Trạm 2 (tuyến 08),Nguyen Thi Thap - Ha Noi Highway - Stop 2 (Route 08),10.75545,106.6815,0,hcmc
R08_S4,Nguyễn Thị Thập - Xa lộ Hà Nội - Trạm 3 (tuyến 08),Nguyen Thi Thap - Ha Noi Highway - Stop 3 (Route 08),10.763925,106.68975,0,hcmc
R08_S6,Nguyễn Thị Thập - Xa lộ Hà Nội - Trạm 1 (tuyến 08),Nguyen Thi Thap - Ha Noi Highway - Stop 1 (Route 08),10.7968,106.72425,0,hcmc
R08_S7,Nguyễn Thị Thập - Xa lộ Hà Nội - Trạm 2 (tuyến 08),Nguyen Thi Thap - Ha Noi Highway - Stop 2 (Route 08),10.8212,106.7505,0,hcmc
R08_S8,Nguyễn Thị Thập - Xa lộ Hà Nội - Trạm 3 (tuyến 08),Nguyen Thi Thap - Ha Noi Highway - Stop 3 (Route 08),10.8456,106.77675,0,hcmc
DHQG,Đại học Quốc Gia TP.HCM,Vietnam National University HCMC,10.87,106.803,1,hcmc
R10_S2,Lý Thường Kiệt - Trạm 1 (tuyến 10),Ly Thuong Kiet St. - Stop 1 (Route 10),10.845625,106.766675,0,hcmc
R10_S3,Lý Thường Kiệt - Trạm 2 (tuyến 10),Ly Thuong Kiet St. - Stop 2 (Route 10),10.82125,106.73035,0,hcmc
R10_S4,Lý Thường Kiệt - Trạm 3 (tuyến 10),Ly Thuong Kiet St. - Stop 3 (Route 10),10.796875,106.694025,0,hcmc
BACH_KHOA,Đại học Bách Khoa,HCMC University of Technology,10.7725,106.6577,1,hcmc
R10_S6,Lý Thường Kiệt - Trạm 1 (tuyến 10),Ly Thuong Kiet St. - Stop 1 (Route 10),10.7667,106.656075,0,hcmc
R10_S7,Lý Thường Kiệt - Trạm 2 (tuyến 10),Ly Thuong Kiet St. - Stop 2 (Route 10),10.7609,106.65445,0,hcmc
R10_S8,Lý Thường Kiệt - Trạm 3 (tuyến 10),Ly Thuong Kiet St. - Stop 3 (Route 10),10.7551,106.652825,0,hcmc
